year,month,day,cityid,spend_acf,spend_aer,spend_all,spend_apg,spend_grf,spend_hcs,spend_tws
2020,1,13,6,0.0216,0.0208,0.00393,0.00859,0.0174,-0.0928,0.0251
2020,1,20,6,0.0114,0.0522,0.0229,0.0114,-0.0205,0.0552,0.0296
2020,1,27,6,-0.0122,-0.0601,-0.00183,-0.0573,-0.0132,-0.000673,-0.0157
2020,2,3,6,-0.0105,0.0303,-0.023,0.0276,-0.0148,0.0279,-0.0454
2020,2,10,6,-0.0586,0.0523,-0.00224,-0.037,0.0119,0.0307,-0.0848
2020,2,17,6,-0.0359,-0.0751,-0.0104,0.0617,0.04,-0.0363,0.00686
2020,2,24,6,-0.0114,0.0288,0.0124,0.0491,-0.0051,-0.0857,-0.0403
2020,3,2,6,-0.0469,-0.226,-0.0231,-0.00378,0.121,-0.0439,-0.164
2020,3,9,6,-0.106,-0.152,-0.0475,-0.0835,0.202,0.0519,-0.138
2020,3,16,6,-0.241,-0.364,-0.0338,-0.162,0.904,-0.0935,-0.359
2020,3,23,6,-0.638,-0.61,-0.273,-0.554,0.309,-0.486,-0.616
2020,3,30,6,-0.725,-0.749,-0.405,-0.59,0.0802,-0.574,-0.75
2020,4,6,6,-0.72,-0.77,-0.365,-0.55,0.17,-0.544,-0.734
2020,4,13,6,-0.709,-0.8,-0.413,-0.569,0.0823,-0.55,-0.791
2020,4,20,6,-0.696,-0.771,-0.357,-0.529,0.00928,-0.554,-0.752
2020,4,27,6,-0.696,-0.831,-0.337,-0.464,0.205,-0.572,-0.745
2020,5,4,6,-0.667,-0.774,-0.299,-0.441,0.167,-0.528,-0.691
2020,5,11,6,-0.62,-0.768,-0.285,-0.45,0.135,-0.474,-0.697
2020,5,18,6,-0.626,-0.642,-0.251,-0.41,0.226,-0.314,-0.669
2020,5,25,6,-0.589,-0.723,-0.257,-0.461,0.107,-0.297,-0.608
2020,6,1,6,-0.54,-0.643,-0.245,-0.379,0.0873,-0.267,-0.619
2020,6,8,6,-0.493,-0.701,-0.213,-0.312,0.118,-0.184,-0.587
2020,6,15,6,-0.455,-0.624,-0.181,-0.217,0.0666,-0.0691,-0.548
2020,6,22,6,-0.436,-0.585,-0.136,-0.159,0.209,-0.129,-0.55
2020,6,29,6,-0.415,-0.596,-0.174,-0.194,0.13,-0.156,-0.552
2020,7,6,6,-0.456,-0.562,-0.138,-0.198,0.116,-0.109,-0.528
2020,7,13,6,-0.443,-0.648,-0.157,-0.201,0.155,-0.203,-0.57
2020,7,20,6,-0.43,-0.701,-0.132,-0.235,0.167,-0.104,-0.569
2020,7,27,6,-0.425,-0.636,-0.147,-0.201,0.129,-0.19,-0.568
2020,8,3,6,-0.389,-0.638,-0.145,-0.211,0.163,-0.165,-0.552
2020,8,10,6,-0.382,-0.588,-0.125,-0.207,0.168,-0.142,-0.502
