year,month,day,spend_acf,spend_aer,spend_all,spend_apg,spend_grf,spend_hcs,spend_tws,spend_all_inchigh,spend_all_inclow,spend_all_incmiddle
2020,1,13,-0.00593,0.00153,-0.000686,-0.00307,0.00327,-0.0105,0.0104,8.57e-05,0.00169,-0.00198
2020,1,20,0.00292,0.0448,0.00791,-0.0116,-0.0131,0.0134,0.0119,0.00864,0.014,0.00581
2020,1,27,-0.00394,0.00745,-0.00462,-0.00421,-0.0188,0.00185,-0.0102,-0.00439,-0.00766,-0.00376
2020,2,3,0.00809,-0.0028,-0.00197,0.0153,-0.00812,0.000585,-0.00712,-0.0038,-0.00479,-0.000221
2020,2,10,-0.0278,0.0207,0.000292,-0.0181,0.0328,0.00766,-0.0466,0.00202,-0.00343,-0.000185
2020,2,17,-0.0224,0.023,0.0064,-0.00738,0.0246,-0.00305,-0.0319,0.011,-0.00694,0.00686
2020,2,24,-0.00857,-0.0262,-0.00355,-0.0143,-0.0174,-0.00914,-0.0656,0.011,-0.0362,-0.00359
2020,3,2,-0.0329,-0.0922,-0.0133,-0.0119,0.0754,-0.0234,-0.147,-0.0101,-0.0266,-0.012
2020,3,9,-0.062,-0.111,-0.00607,-0.0211,0.149,-0.0219,-0.173,-0.0136,0.00737,-0.0055
2020,3,16,-0.215,-0.363,-0.00701,-0.131,0.655,-0.0933,-0.303,-0.0178,-0.00427,-0.000899
2020,3,23,-0.596,-0.613,-0.208,-0.457,0.373,-0.388,-0.574,-0.249,-0.168,-0.192
2020,3,30,-0.666,-0.73,-0.334,-0.522,0.0731,-0.552,-0.692,-0.368,-0.298,-0.322
2020,4,6,-0.656,-0.711,-0.296,-0.464,0.159,-0.54,-0.68,-0.342,-0.242,-0.282
2020,4,13,-0.643,-0.728,-0.324,-0.462,0.0966,-0.573,-0.728,-0.363,-0.282,-0.311
2020,4,20,-0.586,-0.692,-0.232,-0.384,0.0509,-0.469,-0.694,-0.314,-0.128,-0.208
2020,4,27,-0.584,-0.737,-0.222,-0.341,0.239,-0.522,-0.694,-0.286,-0.148,-0.202
2020,5,4,-0.546,-0.684,-0.179,-0.304,0.197,-0.464,-0.646,-0.247,-0.1,-0.158
2020,5,11,-0.511,-0.647,-0.173,-0.293,0.133,-0.394,-0.644,-0.238,-0.0966,-0.153
2020,5,18,-0.491,-0.596,-0.143,-0.212,0.188,-0.306,-0.634,-0.204,-0.0673,-0.126
2020,5,25,-0.452,-0.608,-0.133,-0.219,0.111,-0.236,-0.59,-0.197,-0.0615,-0.112
2020,6,1,-0.413,-0.574,-0.127,-0.192,0.103,-0.226,-0.567,-0.187,-0.054,-0.108
2020,6,8,-0.398,-0.505,-0.0965,-0.16,0.123,-0.182,-0.533,-0.159,-0.027,-0.0761
2020,6,15,-0.37,-0.526,-0.0981,-0.117,0.0761,-0.16,-0.508,-0.148,-0.0392,-0.0831
2020,6,22,-0.334,-0.46,-0.0496,-0.0206,0.184,-0.147,-0.494,-0.103,0.00934,-0.0321
2020,6,29,-0.359,-0.524,-0.107,-0.0656,0.0768,-0.163,-0.499,-0.149,-0.0653,-0.0935
2020,7,6,-0.365,-0.52,-0.0583,-0.0603,0.0976,-0.00668,-0.476,-0.104,-0.00645,-0.0454
2020,7,13,-0.339,-0.509,-0.0653,-0.0561,0.118,-0.14,-0.503,-0.103,-0.0209,-0.0554
2020,7,20,-0.339,-0.547,-0.0645,-0.087,0.134,-0.122,-0.512,-0.102,-0.0219,-0.0543
2020,7,27,-0.325,-0.518,-0.0628,-0.0874,0.128,-0.117,-0.498,-0.103,-0.0228,-0.0499
2020,8,3,-0.304,-0.52,-0.0737,-0.111,0.11,-0.117,-0.483,-0.113,-0.036,-0.061
2020,8,10,-0.29,-0.473,-0.0422,-0.0862,0.123,-0.104,-0.465,-0.0845,0.00749,-0.0308
