year,month,day,statefips,spend_acf,spend_aer,spend_all,spend_apg,spend_grf,spend_hcs,spend_tws,spend_all_inchigh,spend_all_inclow,spend_all_incmiddle
2020,1,13,6,0.00186,0.0412,0.000297,0.00206,0.0048,-0.0245,0.00424,0.00322,-0.00649,-0.00353
2020,1,20,6,0.00549,-0.00237,0.012,-0.00476,-0.0113,0.0363,0.0119,0.0144,0.0157,0.00698
2020,1,27,6,-0.0186,0.0246,-0.00248,-0.0235,-0.0116,0.000871,0.00893,-0.00367,-0.00549,-0.000118
2020,2,3,6,0.0206,-0.0184,-0.00203,0.0184,-0.00716,-0.00536,0.0027,-0.00549,-0.00359,0.00466
2020,2,10,6,-0.0252,0.0156,0.019,-0.0221,0.0486,0.0431,-0.00301,0.0137,0.0472,0.0238
2020,2,17,6,0.00513,0.077,0.0283,0.00377,0.0353,0.0283,0.00195,0.0262,0.00282,0.0364
2020,2,24,6,0.00576,0.0179,0.0233,-0.00222,0.00326,-0.000271,-0.0251,0.0258,-0.00315,0.0235
2020,3,2,6,-0.0177,-0.119,0.0129,0.00291,0.165,-0.0161,-0.153,0.01,0.0179,0.0171
2020,3,9,6,-0.092,-0.1,-0.0123,-0.064,0.221,0.00405,-0.126,-0.0136,-0.0126,-0.00998
2020,3,16,6,-0.236,-0.399,-0.0217,-0.169,0.888,-0.107,-0.33,-0.0215,-0.0433,-0.0183
2020,3,23,6,-0.632,-0.601,-0.266,-0.529,0.328,-0.46,-0.632,-0.285,-0.223,-0.241
2020,3,30,6,-0.704,-0.735,-0.369,-0.568,0.133,-0.585,-0.743,-0.378,-0.352,-0.355
2020,4,6,6,-0.711,-0.74,-0.347,-0.523,0.183,-0.551,-0.713,-0.363,-0.317,-0.322
2020,4,13,6,-0.693,-0.757,-0.374,-0.543,0.121,-0.586,-0.773,-0.384,-0.381,-0.357
2020,4,20,6,-0.689,-0.759,-0.343,-0.501,0.0369,-0.56,-0.748,-0.361,-0.337,-0.311
2020,4,27,6,-0.674,-0.799,-0.318,-0.48,0.214,-0.569,-0.738,-0.337,-0.298,-0.287
2020,5,4,6,-0.651,-0.731,-0.283,-0.432,0.19,-0.543,-0.686,-0.302,-0.246,-0.256
2020,5,11,6,-0.621,-0.717,-0.279,-0.438,0.13,-0.473,-0.699,-0.296,-0.255,-0.254
2020,5,18,6,-0.62,-0.641,-0.25,-0.39,0.206,-0.393,-0.69,-0.269,-0.226,-0.22
2020,5,25,6,-0.6,-0.721,-0.25,-0.445,0.145,-0.321,-0.634,-0.266,-0.236,-0.224
2020,6,1,6,-0.547,-0.611,-0.23,-0.391,0.111,-0.29,-0.631,-0.241,-0.231,-0.21
2020,6,8,6,-0.53,-0.618,-0.217,-0.367,0.105,-0.235,-0.585,-0.234,-0.185,-0.19
2020,6,15,6,-0.474,-0.65,-0.195,-0.256,0.079,-0.178,-0.578,-0.205,-0.191,-0.18
2020,6,22,6,-0.436,-0.529,-0.141,-0.155,0.187,-0.158,-0.563,-0.159,-0.127,-0.112
2020,6,29,6,-0.447,-0.596,-0.181,-0.152,0.112,-0.16,-0.557,-0.195,-0.151,-0.164
2020,7,6,6,-0.468,-0.594,-0.135,-0.172,0.112,-0.00557,-0.539,-0.147,-0.115,-0.117
2020,7,13,6,-0.446,-0.607,-0.134,-0.16,0.151,-0.131,-0.567,-0.146,-0.135,-0.114
2020,7,20,6,-0.45,-0.655,-0.129,-0.2,0.176,-0.12,-0.578,-0.14,-0.106,-0.115
2020,7,27,6,-0.437,-0.599,-0.137,-0.216,0.155,-0.126,-0.562,-0.149,-0.117,-0.12
2020,8,3,6,-0.415,-0.643,-0.145,-0.215,0.152,-0.108,-0.547,-0.156,-0.115,-0.131
2020,8,10,6,-0.393,-0.582,-0.113,-0.197,0.159,-0.0923,-0.529,-0.127,-0.089,-0.0914
