year,month,day,statefips,revenue_all,revenue_inchigh,revenue_inclow,revenue_incmiddle,revenue_ss40,revenue_ss65,revenue_ss70
2020,1,13,6,-0.0122,-0.0101,-0.0143,-0.013999999999999999,-0.009909999999999999,-0.0287,-0.0252
2020,1,20,6,0.0244,0.0195,0.0279,0.0287,0.0196,0.0625,0.00995
2020,1,27,6,-0.0118,-0.0198,-0.00151,-0.004220000000000001,-0.005229999999999999,-0.0351,0.00687
2020,2,3,6,0.0218,0.0306,0.0386,0.00613,0.0274,0.0226,0.031
2020,2,10,6,0.18899999999999997,0.21100000000000002,0.13,0.171,0.128,0.162,0.213
2020,2,17,6,0.00576,-0.00293,0.0338,0.0108,0.0433,-0.025,0.0145
2020,2,24,6,0.00415,-0.008409999999999999,0.0499,0.0111,0.0009480000000000001,0.0164,-0.016
2020,3,2,6,0.0788,0.0664,0.151,0.0794,0.0883,0.0117,0.0553
2020,3,9,6,0.034,0.028999999999999998,0.0871,0.0269,0.0213,0.0649,0.006659999999999999
2020,3,16,6,-0.0918,-0.126,-0.0825,-0.0475,-0.0219,-0.0421,-0.28
2020,3,23,6,-0.32,-0.344,-0.311,-0.289,-0.27899999999999997,-0.303,-0.665
2020,3,30,6,-0.395,-0.39,-0.47,-0.387,-0.43,-0.445,-0.695
2020,4,6,6,-0.37799999999999995,-0.37799999999999995,-0.426,-0.37,-0.37799999999999995,-0.47100000000000003,-0.6659999999999999
2020,4,13,6,-0.387,-0.41,-0.446,-0.344,-0.409,-0.39399999999999996,-0.7020000000000001
2020,4,20,6,-0.309,-0.319,-0.321,-0.295,-0.301,-0.374,-0.679
2020,4,27,6,-0.262,-0.278,-0.225,-0.253,-0.2,-0.406,-0.638
2020,5,4,6,-0.264,-0.28800000000000003,-0.22699999999999998,-0.245,-0.21100000000000002,-0.473,-0.615
2020,5,11,6,-0.217,-0.237,-0.18899999999999997,-0.19899999999999998,-0.19399999999999998,-0.363,-0.574
2020,5,18,6,-0.185,-0.20600000000000002,-0.16899999999999998,-0.162,-0.145,-0.322,-0.623
2020,5,25,6,-0.175,-0.195,-0.151,-0.158,-0.111,-0.20800000000000002,-0.583
2020,6,1,6,-0.149,-0.156,-0.14,-0.14800000000000002,-0.139,-0.239,-0.534
2020,6,8,6,-0.152,-0.179,-0.0526,-0.14,-0.078,-0.28600000000000003,-0.537
2020,6,15,6,-0.139,-0.16399999999999998,-0.0852,-0.11800000000000001,-0.0864,-0.17,-0.48200000000000004
2020,6,22,6,-0.135,-0.149,-0.081,-0.127,-0.0154,-0.212,-0.465
2020,6,29,6,-0.122,-0.147,-0.0768,-0.10099999999999999,-0.0198,-0.235,-0.45799999999999996
2020,7,6,6,-0.0937,-0.114,0.0107,-0.0944,-0.007890000000000001,-0.198,-0.43799999999999994
2020,7,13,6,-0.106,-0.125,-0.0369,-0.0984,-0.033,-0.179,-0.495
2020,7,20,6,-0.151,-0.172,-0.044000000000000004,-0.147,-0.0718,-0.244,-0.54
2020,7,27,6,-0.154,-0.17800000000000002,-0.11800000000000001,-0.133,-0.1,-0.245,-0.506
2020,8,3,6,-0.154,-0.17600000000000002,-0.0589,-0.14800000000000002,-0.0936,-0.28300000000000003,-0.502
