year,month,day,countyfips,spend_all
2020,1,13,6073,0.0043
2020,1,20,6073,0.0227
2020,1,27,6073,-0.00206
2020,2,3,6073,-0.0229
2020,2,10,6073,-0.00151
2020,2,17,6073,-0.0102
2020,2,24,6073,0.0127
2020,3,2,6073,-0.0226
2020,3,9,6073,-0.0476
2020,3,16,6073,-0.0334
2020,3,23,6073,-0.273
2020,3,30,6073,-0.40399999999999997
2020,4,6,6073,-0.365
2020,4,13,6073,-0.413
2020,4,20,6073,-0.35700000000000004
2020,4,27,6073,-0.336
2020,5,4,6073,-0.299
2020,5,11,6073,-0.285
2020,5,18,6073,-0.251
2020,5,25,6073,-0.257
2020,6,1,6073,-0.245
2020,6,8,6073,-0.213
2020,6,15,6073,-0.18
2020,6,22,6073,-0.136
2020,6,29,6073,-0.174
2020,7,6,6073,-0.138
2020,7,13,6073,-0.157
2020,7,20,6073,-0.132
2020,7,27,6073,-0.146
2020,8,2,6073,-0.15
