year,month,day,statefips,spend_acf,spend_aer,spend_all,spend_apg,spend_grf,spend_hcs,spend_tws,spend_all_inchigh,spend_all_inclow,spend_all_incmiddle
2020,1,13,6,0.00178,0.042,0.000388,0.00197,0.00484,-0.0247,0.00485,0.00303,-0.00559,-0.00312
2020,1,20,6,0.00551,-0.00165,0.0121,-0.00447,-0.0113,0.0368,0.0118,0.0146,0.0153,0.00694
2020,1,27,6,-0.0188,0.0238,-0.00263,-0.0236,-0.0115,0.000681,0.0082,-0.00385,-0.00561,-0.000199
2020,2,3,6,0.0209,-0.0193,-0.00205,0.0184,-0.00729,-0.00544,0.00294,-0.00527,-0.0042,0.00429
2020,2,10,6,-0.0249,0.0145,0.0191,-0.0221,0.0485,0.0432,-0.00212,0.014,0.0467,0.0237
2020,2,17,6,0.00519,0.0761,0.0282,0.00366,0.0353,0.0282,0.00198,0.0263,0.00198,0.0365
2020,2,24,6,0.00603,0.0168,0.0233,-0.00229,0.00337,-0.000483,-0.025,0.0258,-0.00374,0.0236
2020,3,2,6,-0.0177,-0.12,0.0129,0.00301,0.165,-0.0157,-0.153,0.00999,0.0168,0.0174
2020,3,9,6,-0.092,-0.101,-0.0121,-0.0639,0.221,0.00412,-0.126,-0.0136,-0.0119,-0.00965
2020,3,16,6,-0.236,-0.399,-0.0216,-0.169,0.887,-0.107,-0.33,-0.0212,-0.0436,-0.0186
2020,3,23,6,-0.632,-0.602,-0.266,-0.529,0.327,-0.46,-0.631,-0.285,-0.223,-0.241
2020,3,30,6,-0.704,-0.735,-0.369,-0.568,0.133,-0.585,-0.743,-0.378,-0.353,-0.355
2020,4,6,6,-0.711,-0.74,-0.347,-0.523,0.183,-0.551,-0.713,-0.363,-0.318,-0.322
2020,4,13,6,-0.693,-0.757,-0.374,-0.543,0.121,-0.586,-0.773,-0.383,-0.381,-0.357
2020,4,20,6,-0.689,-0.759,-0.343,-0.5,0.0371,-0.56,-0.748,-0.361,-0.337,-0.311
2020,4,27,6,-0.674,-0.8,-0.317,-0.48,0.214,-0.569,-0.738,-0.337,-0.294,-0.287
2020,5,4,6,-0.651,-0.731,-0.283,-0.432,0.19,-0.543,-0.686,-0.302,-0.247,-0.256
2020,5,11,6,-0.621,-0.717,-0.279,-0.439,0.13,-0.473,-0.698,-0.296,-0.255,-0.254
2020,5,18,6,-0.62,-0.641,-0.25,-0.389,0.206,-0.392,-0.69,-0.269,-0.226,-0.219
2020,5,25,6,-0.6,-0.721,-0.25,-0.445,0.145,-0.321,-0.634,-0.266,-0.236,-0.224
2020,6,1,6,-0.547,-0.611,-0.23,-0.39,0.111,-0.29,-0.631,-0.241,-0.23,-0.209
2020,6,8,6,-0.529,-0.618,-0.217,-0.367,0.105,-0.235,-0.585,-0.234,-0.185,-0.19
2020,6,15,6,-0.474,-0.65,-0.195,-0.256,0.0791,-0.178,-0.578,-0.205,-0.19,-0.18
2020,6,22,6,-0.436,-0.53,-0.142,-0.155,0.187,-0.159,-0.562,-0.159,-0.126,-0.112
2020,6,29,6,-0.447,-0.597,-0.182,-0.152,0.111,-0.16,-0.557,-0.195,-0.151,-0.164
2020,7,6,6,-0.468,-0.594,-0.135,-0.172,0.112,-0.00575,-0.54,-0.147,-0.115,-0.117
2020,7,13,6,-0.446,-0.607,-0.134,-0.16,0.152,-0.131,-0.568,-0.147,-0.136,-0.114
2020,7,20,6,-0.45,-0.654,-0.129,-0.2,0.176,-0.121,-0.577,-0.14,-0.105,-0.115
2020,7,27,6,-0.437,-0.599,-0.137,-0.215,0.156,-0.125,-0.561,-0.149,-0.119,-0.121
2020,8,2,6,-0.418,-0.654,-0.151,-0.219,0.15,-0.11,-0.55,-0.162,-0.12,-0.138
