year,month,day,cityid,bg_posts,bg_posts_ss30,bg_posts_ss55,bg_posts_ss60,bg_posts_ss65,bg_posts_ss70,bg_posts_jz1,bg_posts_jzgrp12,bg_posts_jz2,bg_posts_jz3,bg_posts_jzgrp345,bg_posts_jz4,bg_posts_jz5
2020,1,10,6,-0.145,-0.324,-0.145,-0.264,-0.145,-0.182,-0.083,-0.11,-0.11199999999999999,-0.128,-0.166,-0.19699999999999998,-0.14400000000000002
2020,1,17,6,0.17800000000000002,0.265,0.192,0.253,0.165,0.381,0.535,0.247,0.21899999999999997,0.184,0.151,0.125,0.171
2020,1,24,6,-0.139,-0.0491,-0.2,-0.239,-0.107,-0.19,-0.27399999999999997,-0.14800000000000002,-0.136,-0.154,-0.139,-0.138,-0.105
2020,1,31,6,0.106,0.10800000000000001,0.153,0.25,0.0868,-0.00859,-0.17800000000000002,0.0114,0.0293,0.0985,0.154,0.21,0.079
2020,2,7,6,-0.13699999999999998,-0.252,-0.064,-0.196,-0.134,0.0447,-0.0764,-0.0811,-0.0815,-0.16899999999999998,-0.17300000000000001,-0.20600000000000002,-0.0614
2020,2,14,6,0.115,0.0729,0.18,0.00394,0.11800000000000001,0.00678,-0.0764,0.0958,0.11199999999999999,0.168,0.109,0.0523,0.18100000000000002
2020,2,21,6,-0.0742,-0.00983,-0.0932,-0.152,-0.0158,-0.183,-0.228,-0.13699999999999998,-0.129,-0.07400000000000001,-0.0567,-0.0739,0.0504
2020,2,28,6,0.0017,-0.0688,0.0539,-0.133,0.0271,0.0664,-0.0501,-0.0253,-0.023,0.0343,0.00066,-0.0481,0.10300000000000001
2020,3,6,6,-0.11,-0.14,-0.11800000000000001,-0.243,-0.20199999999999999,-0.0628,-0.013999999999999999,-0.0361,-0.0382,-0.168,-0.153,-0.161,-0.0824
2020,3,13,6,0.0622,0.075,0.11,-0.0911,0.0656,-0.0167,-0.126,0.0358,0.0511,0.0596,0.0664,0.0574,0.11699999999999999
2020,3,20,6,0.0582,0.114,0.0617,-0.039,-0.0043100000000000005,-0.16899999999999998,-0.106,0.0338,0.0471,0.0105,0.0611,0.0801,0.113
